PC1,Bankrupt?
-46195310977.55599,1
-46195310977.79271,1
-46195310977.35872,1
-46195310978.39362,1
-46195310977.67435,1
-46195310977.583305,1
-46195310977.313194,0
-46195310977.84431,0
-46195310977.51957,0
-46195310977.71684,0
-46195310978.09013,0
-46195310977.62276,0
-46195310978.00819,0
-46195310977.604546,0
-46195310976.99453,0
-46195310978.302574,0
-46195310978.16904,0
-46195310977.82306,0
-46195310977.877686,0
-46195310978.0871,0
-46195310979.756294,0
-46195310977.40424,0
-46195310977.47101,0
-46195310977.79878,0
-46195310977.443695,0
-46195310977.513504,0
-46195310977.65917,0
-46195310976.53019,0
-46195310977.261604,0
-46195310977.200905,1
-46195310976.89438,1
-46195310977.24643,0
-46195310977.71684,0
-46195310977.54688,0
-46195310977.67435,0
-46195310977.947495,0
-46195310977.97177,0
-46195310977.89893,0
-46195310977.34962,0
-46195310977.33748,0
-46195310978.25705,0
-46195310978.05675,0
-46195310977.9566,0
-46195310977.77147,0
-46195310978.038536,0
-46195310979.756294,0
-46195310976.50591,0
-46195310977.48012,0
-46195310977.76843,0
-46195310977.32534,0
-46195310977.7047,0
-46195310977.33444,0
-46195310976.89438,0
-46195310977.170555,0
-46195310977.552956,1
-46195310978.06282,1
-46195310978.545364,1
-46195310977.98998,1
-46195310977.60758,0
-46195310978.675865,0
-46195310978.51805,0
-46195310978.311676,0
-46195310978.44218,0
-46195310977.95356,0
-46195310978.684975,0
-46195310978.60303,0
-46195310978.45735,0
-46195310979.05523,0
-46195310978.80334,0
-46195310978.59696,0
-46195310978.72746,0
-46195310978.42397,0
-46195310979.756294,0
-46195310978.806366,0
-46195310978.39666,0
-46195310978.07496,0
-46195310978.18421,0
-46195310977.70167,0
-46195310978.45432,0
-46195310978.0871,0
-46195310978.27526,0
-46195310977.97481,1
-46195310978.80334,0
-46195310979.08558,0
-46195310977.604546,0
-46195310978.88831,0
-46195310979.25857,0
-46195310978.515015,0
-46195310979.03702,0
-46195310979.07344,0
-46195310978.95204,0
-46195310979.35872,0
-46195310978.9399,0
-46195310979.01578,0
-46195310979.14324,0
-46195310979.20698,0
-46195309954.87314,0
-46195310978.94294,0
-46195310979.291954,0
-46195310978.766914,0
-46195310978.836716,0
-46195310978.80334,0
-46195310978.53626,0
-46195310978.9308,0
-46195310979.0006,0
-46195310976.76995,1
-46195310977.49833,1
-46195310977.79878,0
-46195310977.71987,0
-46195310978.068886,0
-46195310977.94446,0
-46195310978.22974,0
-46195310979.756294,0
-46195310979.756294,0
-46195310978.1478,0
-46195310979.756294,0
-46195310977.886795,0
-46195310976.897415,0
-46195310978.16904,0
-46195310978.15083,0
-46195310977.88072,0
-46195310978.49984,0
-46195310978.06585,0
-46195310978.32685,0
-46195310977.786644,0
-46195310977.71987,0
-46195310977.65311,0
-46195310978.575714,0
-46195310977.77147,0
-46195310975.94142,0
-46195310976.988464,0
-46195310978.01426,0
-46195310977.877686,1
-46195310978.66069,0
-46195310978.74264,0
-46195310978.43611,0
-46195310978.63034,0
-46195310979.1918,0
2254636798276.89,0
-46195310979.0613,0
-46195310979.07648,0
-46195310979.756294,0
-46195310978.4877,0
-46195310978.876175,0
-46195310978.897415,0
-46195310978.70925,0
-46195310978.65766,0
-46195310978.94598,0
-46195310978.9915,0
2108369180674.458,0
-46195310978.88528,0
-46195310978.62124,0
-46195310978.339,0
591070242889.8,0
-46195310978.845825,0
-46195310979.15842,0
-46195310978.715324,0
-46195310979.1918,0
-46195310978.9308,1
-46195310978.95204,0
-46195310978.97025,0
-46195310978.861,0
-46195310978.96418,0
-46195310979.43459,0
-46195310976.94294,0
-46195310979.01578,0
-46195310979.179665,0
-46195310979.756294,0
-46195310978.63338,0
-46195310979.19787,0
-46195310978.827614,0
-46195310979.16449,0
-46195310979.11289,0
-46195310979.14628,0
-46195310979.00364,0
1440757648049.2085,0
-46195310978.511986,0
-46195310978.7487,0
-46195310978.4877,0
-46195310979.43763,0
-46195310978.95508,0
-46195310978.56661,0
-46195310978.94294,0
-46195310979.0613,0
-46195310977.64703,1
-46195310977.40121,1
-46195310977.20394,1
-46195310977.968735,0
-46195310977.80182,0
-46195310963.97481,0
-46195310977.9566,0
-46195310978.07496,0
-46195310978.35417,0
-46195310977.88983,0
-46195310977.999084,0
-46195310977.94446,0
-46195310978.16297,0
-46195310977.43459,0
-46195310977.86858,0
-46195310977.99605,0
-46195310977.46798,0
-46195310977.574196,0
-46195310978.43004,0
-46195310977.68346,0
-46195310978.24795,0
-46195310978.290436,0
-46195310978.08406,0
-46195310978.23277,0
-46195310977.71987,0
-46195310977.95052,0
-46195310977.938385,0
-46195310976.28436,0
-46195310977.777534,0
-46195310978.111374,0
-46195310977.59544,0
-46195310978.342026,0
-46195310979.756294,0
-46195310977.604546,0
-46195310977.81092,0
-46195310977.52867,0
-46195310976.50895,0
-46195310977.179665,0
-46195310977.79271,0
-46195310977.60151,0
-46195310977.886795,0
-46195310977.36479,0
-46195310977.583305,0
-46195310977.695595,0
-46195310977.644005,0
-46195310977.59848,0
-46195310977.040054,1
-46195310977.383,1
-46195310977.8352,1
-46195310977.513504,1
-46195310977.03399,1
-46195310978.01122,1
-46195310977.09772,1
-46195310978.129585,0
-46195310977.88072,0
-46195310979.756294,0
-46195310977.765396,0
-46195310977.65311,0
-46195310977.99605,0
-46195310978.42094,0
-46195310977.46191,0
-46195310978.13566,0
-46195310977.73505,0
-46195310977.92625,0
-46195310977.06737,0
-46195310977.947495,0
-46195310978.52716,0
-46195310978.0264,0
-46195310977.43763,0
-46195310977.48922,0
-46195310978.342026,0
-46195310977.97481,0
-46195310978.03247,0
-46195310978.11441,0
-46195310977.76236,0
-46195310977.82913,0
-46195310977.71987,0
-46195310978.01122,0
-46195310977.69863,0
-46195310977.504395,0
-46195310977.513504,0
-46195310977.938385,0
-46195310978.08406,0
-46195310978.220634,0
-46195310978.099236,0
-46195310978.220634,0
-46195310978.654625,0
-46195310977.36479,0
-46195310977.90501,0
-46195310977.17359,0
-46195310977.361755,0
-46195310977.50743,0
-46195310977.84127,0
-46195310977.39514,0
-46195310977.67132,0
-46195310977.67132,0
-46195310978.181175,0
-46195310976.85796,0
-46195310977.57723,0
-46195310977.98998,0
-46195310978.32989,1
-46195310978.61517,0
-46195310978.46646,0
-46195310977.63793,0
-46195310978.07496,0
-46195310978.01122,0
-46195310978.64855,0
-46195310979.088615,0
-46195310978.545364,0
-46195310978.8701,0
-46195310979.049164,0
-46195310978.44218,0
-46195310978.77299,0
-46195310978.766914,0
-46195310978.715324,0
-46195310978.23581,0
-46195310977.483154,0
-46195310978.09317,0
-46195310978.1569,0
-46195310978.53019,0
-46195310978.181175,0
-46195310978.46646,0
-46195310978.50591,0
-46195310978.979355,0
-46195310978.02336,0
-46195310978.675865,0
-46195310978.845825,0
-46195310979.21001,0
-46195310977.552956,0
-46195310978.88831,0
-46195310978.2176,0
-46195310979.05523,0
-46195310978.56965,0
-46195310978.75174,0
-46195310978.44521,0
-46195310978.93687,0
-46195310978.26616,0
-46195310977.613655,0
-46195310978.77299,0
-46195310978.43611,0
-46195310978.26919,0
-46195310978.897415,0
-46195310977.73201,0
-46195310977.87162,0
-46195310978.60303,0
-46195310979.756294,0
-46195310978.4695,0
-46195310978.58179,0
-46195310979.006676,0
-46195310978.563576,0
-46195310979.29499,0
-46195310978.563576,0
-46195310978.49074,0
-46195310979.040054,0
-46195310979.343544,0
-46195310978.684975,0
-46195310979.24339,0
-46195310979.282845,0
-46195310978.90349,0
-46195310978.7487,0
-46195310979.16449,0
-46195310979.079506,0
-46195310978.56054,0
-46195310977.59241,0
-46195310978.654625,0
-46195310978.70015,0
-46195310978.59696,0
-46195310979.03095,0
-46195310978.56965,0
-46195310979.05219,0
-46195310979.15234,0
-46195310978.68194,0
-46195310978.876175,0
-46195310979.09772,0
-46195310979.20394,0
-46195310978.351135,0
-46195310978.8094,0
-46195310978.37541,0
-46195310979.331406,0
-46195310979.200905,0
-46195310979.291954,0
-46195310979.31927,0
-46195310978.83065,0
-46195310978.85493,0
-46195310977.97177,0
-46195310979.149315,0
-46195310978.4786,0
-46195310978.66069,0
-46195310973.24643,0
-46195310978.159935,0
-46195310978.58785,0
-46195310978.876175,0
-46195310979.756294,0
-46195310978.74264,0
-46195310978.9915,0
-46195310978.65159,1
-46195310979.11289,0
-46195310978.73353,0
-46195310978.83975,0
-46195310978.90045,0
-46195310978.8094,0
-46195310979.310165,0
-46195310979.39514,0
-46195310978.867065,0
-46195310979.34658,0
-46195310979.31623,0
-46195310979.02184,0
-46195310978.97025,0
-46195310978.92473,0
-46195310979.17663,0
-46195310979.0613,0
-46195310977.22822,0
-46195310978.96722,0
-46195310978.95508,0
-46195310978.754776,0
-46195310979.09468,0
-46195310978.91866,0
-46195310979.19484,0
-46195310979.24036,0
-46195310978.88528,0
-46195310978.99757,0
-46195310979.20698,0
-46195310979.30409,0
-46195310978.92169,0
-46195310979.301056,0
-46195310979.006676,0
-46195310979.36479,0
-46195310979.24339,0
-46195310979.30713,0
-46195310979.291954,0
-46195310979.37693,0
-46195310978.87314,0
-46195310978.320786,0
-46195310979.249466,0
-46195310978.8003,0
-46195310978.8701,0
-46195310978.96418,0
-46195310977.81092,0
-46195310978.85493,0
-46195310978.96722,0
-46195310979.756294,0
-46195310978.91259,0
-46195310978.9915,0
-46195310978.515015,1
-46195310979.10379,0
-46195310978.98543,0
-46195310978.42094,0
-46195310978.92169,0
-46195310978.77905,0
-46195310979.2525,0
-46195310979.343544,0
-46195310978.76084,0
-46195310979.34658,0
-46195310978.71835,0
-46195310979.13717,0
-46195310978.21456,0
-46195310978.785126,0
-46195310979.04309,0
-46195310979.10075,0
-46195310976.78816,0
-46195310978.91259,0
-46195310979.08558,0
-46195310978.818504,0
-46195310978.524124,0
-46195310978.76995,0
-46195310979.19484,0
-46195310979.25553,0
-46195310978.91866,0
-46195310979.06737,0
-46195310979.1311,0
-46195310979.756294,0
-46195310978.87314,0
-46195310978.542336,0
-46195310979.170555,0
-46195310979.249466,0
-46195310979.22215,0
-46195310979.756294,0
-46195310979.44673,0
2254636798276.89,0
-46195310978.979355,0
-46195310978.42701,0
-46195310979.16752,0
-46195310978.20242,0
-46195310978.848854,0
-46195310979.756294,0
-46195310979.756294,0
-46195310978.7305,0
-46195310978.94598,0
-46195310979.756294,0
-46195310978.797264,0
-46195310978.39059,0
-46195310978.90349,0
-46195310978.533226,1
-46195310979.0006,0
-46195310978.96722,0
-46195310979.756294,0
-46195310978.73353,0
-46195310978.533226,0
-46195310979.0006,0
-46195310979.08254,0
-46195310978.43004,0
-46195310979.07648,0
-46195310979.756294,0
-46195310978.6182,0
-46195310979.756294,0
-46195310979.756294,0
-46195310978.92473,0
-46195310978.97329,0
-46195310976.706215,0
-46195310978.82458,0
-46195310978.59089,0
-46195310979.06737,0
-46195310972.384514,0
-46195310978.82458,0
-46195310979.079506,0
-46195310979.12807,0
-46195310978.70015,0
-46195310979.04613,0
-46195310979.09165,0
-46195310979.756294,0
-46195310979.170555,0
-46195310976.754776,0
-46195310979.01578,0
-46195310978.96722,0
-46195310979.07648,0
-46195310979.756294,0
-46195310979.43459,0
-46195310979.37997,0
-46195310978.949005,0
-46195310978.384514,0
-46195310978.897415,0
-46195310974.66069,0
-46195310978.675865,0
-46195310979.756294,0
-46195310979.756294,0
-46195310978.66676,0
-46195310978.32382,0
1289027754270.7427,0
-46195310979.0006,0
-46195310978.39666,0
-46195310978.90045,0
-46195310978.01426,1
-46195310977.97784,1
-46195310978.53019,1
-46195310978.949005,0
-46195310978.93687,0
-46195310979.756294,0
-46195310978.836716,0
-46195310978.58482,0
-46195310978.80334,0
-46195310979.03095,0
-46195310978.57268,0
-46195310979.0006,0
-46195310979.14324,0
-46195310978.90652,0
-46195310979.756294,0
-46195310978.384514,0
-46195310978.74264,0
-46195310978.88528,0
-46195310973.74112,0
-46195310978.78816,0
-46195310978.4877,0
-46195310978.7487,0
-46195310979.756294,0
-46195310978.76995,0
-46195310978.9915,0
-46195310978.82458,0
-46195310978.7305,0
-46195310978.95508,0
-46195310979.03399,0
-46195310979.756294,0
-46195310979.01274,0
-46195310977.018814,0
-46195310978.85189,0
-46195310978.90652,0
-46195310979.01274,0
-46195310978.70015,0
-46195310978.72746,0
-46195310979.24036,0
-46195310978.745674,0
-46195310978.43004,0
-46195310978.897415,0
-46195310973.41032,0
-46195310978.754776,0
-46195310976.302574,0
-46195310979.756294,0
-46195310978.684975,0
-46195310978.72443,0
-46195310979.756294,0
-46195310978.93384,0
-46195310978.6,0
-46195310979.03095,0
-46195310977.37997,1
-46195310977.94142,0
-46195310977.94142,0
-46195310977.54992,0
-46195310978.3481,0
-46195310977.82913,0
-46195310977.543846,0
-46195310977.82002,0
-46195310978.20242,0
-46195310976.91259,0
-46195310977.57117,0
-46195310979.756294,0
-46195310978.5484,0
-46195310977.986946,0
-46195310978.05675,0
-46195310977.74112,0
-46195310977.71684,0
-46195310976.66069,0
-46195310977.504395,0
-46195310977.25553,0
-46195310977.986946,0
-46195310977.847336,0
-46195310977.95356,0
-46195310977.47708,0
-46195310977.98391,0
-46195310977.65007,0
-46195310977.89286,0
-46195310977.616684,0
-46195310978.63338,0
-46195310977.40728,0
2254636798276.89,0
-46195310977.17663,0
-46195310977.03702,0
-46195310977.71684,0
-46195310976.39362,0
-46195310977.968735,0
-46195310978.91866,0
-46195310976.92473,0
-46195310977.41638,0
-46195310977.38907,0
-46195310976.96418,0
-46195310977.85037,0
-46195310978.351135,0
-46195310977.93232,0
-46195310978.26312,0
-46195310977.89286,0
-46195310977.644005,0
-46195310977.54688,0
-46195310977.72291,0
-46195310977.574196,0
-46195310977.474045,0
-46195310978.07496,0
-46195310977.02488,0
-46195310977.483154,0
-46195310977.45584,0
-46195310977.53778,0
-46195310976.65766,0
-46195310977.86555,0
-46195310977.522606,0
-46195310977.10075,0
-46195310977.41032,0
-46195310977.170555,0
-46195310977.90501,0
-46195310977.69863,0
-46195310977.58937,0
-46195310979.756294,0
-46195310977.17359,0
-46195310977.75933,0
-46195310978.047646,0
-46195310977.43156,1
-46195310978.129585,0
-46195310977.75022,0
-46195310977.574196,0
-46195310977.44673,0
-46195310978.077995,0
-46195310977.19787,0
-46195310977.838234,0
-46195310978.038536,0
-46195310977.20394,0
-46195310977.21608,0
-46195310975.52564,0
-46195310978.36327,0
-46195310978.077995,0
-46195310977.85341,0
-46195310977.82913,0
-46195310977.92017,0
-46195310976.78816,0
-46195310977.63793,0
-46195310976.71835,0
-46195310978.04461,0
-46195310977.786644,0
-46195310979.32837,0
-46195310978.34506,0
-46195310978.93384,0
-46195310977.62579,0
-46195310977.917145,0
-46195310977.61062,0
-46195310979.04309,0
-46195310977.200905,0
-46195310977.634895,0
-46195310977.08254,0
-46195310976.76388,0
-46195310978.00819,0
-46195310974.979355,0
-46195310976.66069,0
-46195310976.77299,0
-46195310977.97481,0
-46195310977.52564,0
-46195310977.313194,0
-46195310976.867065,0
-46195310976.37541,0
-46195310977.73808,0
-46195310978.89438,0
-46195310977.84431,0
-46195310978.211525,0
